
- Welcome to Smart Strategy Generator - 
Stint lenght = 0:41:33
Refuel rate = 0.25seconds/L 


Stint #1
Lap : 1 | Time left : 11:58:39 | Fuel left : 72.5
Lap : 2 | Time left : 11:57:18 | Fuel left : 70.0
Lap : 3 | Time left : 11:55:57 | Fuel left : 67.5
Lap : 4 | Time left : 11:54:36 | Fuel left : 65.0
Lap : 5 | Time left : 11:53:15 | Fuel left : 62.5
Lap : 6 | Time left : 11:51:54 | Fuel left : 60.0
Lap : 7 | Time left : 11:50:33 | Fuel left : 57.5
Lap : 8 | Time left : 11:49:12 | Fuel left : 55.0
Lap : 9 | Time left : 11:47:51 | Fuel left : 52.5
Lap : 10 | Time left : 11:46:30 | Fuel left : 50.0
Lap : 11 | Time left : 11:45:09 | Fuel left : 47.5
Lap : 12 | Time left : 11:43:48 | Fuel left : 45.0
Lap : 13 | Time left : 11:42:27 | Fuel left : 42.5
Lap : 14 | Time left : 11:41:06 | Fuel left : 40.0
Lap : 15 | Time left : 11:39:45 | Fuel left : 37.5
Lap : 16 | Time left : 11:38:24 | Fuel left : 35.0
Lap : 17 | Time left : 11:37:03 | Fuel left : 32.5
Lap : 18 | Time left : 11:35:42 | Fuel left : 30.0
Lap : 19 | Time left : 11:34:21 | Fuel left : 27.5
Lap : 20 | Time left : 11:33:00 | Fuel left : 25.0
Lap : 21 | Time left : 11:31:39 | Fuel left : 22.5
Lap : 22 | Time left : 11:30:18 | Fuel left : 20.0
Lap : 23 | Time left : 11:28:57 | Fuel left : 17.5
Lap : 24 | Time left : 11:27:36 | Fuel left : 15.0
Lap : 25 | Time left : 11:26:15 | Fuel left : 12.5
Lap : 26 | Time left : 11:24:54 | Fuel left : 10.0
Lap : 27 | Time left : 11:23:33 | Fuel left : 7.5
Lap : 28 | Time left : 11:22:12 | Fuel left : 5.0
Lap : 29 | Time left : 11:20:51 | Fuel left : 2.5
PIT THIS LAP | Lap : 30 | Time left : 11:18:27 | Fuel wasted : 0.0

Stint #2
Lap : 31 | Time left : 11:17:06 | Fuel left : 72.5
Lap : 32 | Time left : 11:15:45 | Fuel left : 70.0
Lap : 33 | Time left : 11:14:24 | Fuel left : 67.5
Lap : 34 | Time left : 11:13:03 | Fuel left : 65.0
Lap : 35 | Time left : 11:11:42 | Fuel left : 62.5
